subjID,condition,phase,target,correct_choice,wrong_choice,correct_order,trial_type,response,accuracy,catch_accuracy
2019-04-25-093635,shapes,test,pac_scalene,hexagon_pac_scalene,pac_scalene_hexagon,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,arrow_star,ring_arrow_star,arrow_star_ring,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,kite_star,kite_star,ellipse_kite_star,1,ident-pre,1,1,1
2019-04-25-093635,shapes,test,trapeze_parallelogram,trapeze_parallelogram,octagon_star_ellipse,1,ident-diff,1,1,1
2019-04-25-093635,shapes,test,hexagon_polygon,rectangle_hexagon_polygon,hexagon_polygon_rectangle,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,trapeze_pentagon,trapeze_pentagon,polygon_trapeze_pentagon,2,ident-pre,2,1,1
2019-04-25-093635,shapes,test,kite_polygon,circle_kite_polygon,kite_polygon_circle,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,circle_ring,semicircle_circle_ring,circle_ring_semicircle,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,octagon_semicircle,quatrefoil_octagon_semicircle,octagon_semicircle_quatrefoil,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,square_pentagon,trefoil_square_pentagon,octagon_pac_heart,2,pre-diff,2,1,1
2019-04-25-093635,shapes,test,right_scalene,square_right_scalene,right_scalene_square,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,right_quatrefoil,cross_right_quatrefoil,right_quatrefoil_cross,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,kite_pac,diamond_kite_pac,kite_pac_diamond,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,triangle_rectangle,square_triangle_rectangle,triangle_rectangle_square,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,circle_heart,ellipse_circle_heart,circle_heart_ellipse,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,crescent_circle,ellipse_crescent_circle,crescent_circle_ellipse,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,quatrefoil_cross,quatrefoil_cross,crescent_rectangle_hexagon,2,ident-diff,2,1,1
2019-04-25-093635,shapes,test,trapeze_octagon,rectangle_trapeze_octagon,trapeze_octagon_rectangle,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,right_cross,arrow_right_cross,right_cross_arrow,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,ellipse_trefoil,triangle_ellipse_trefoil,ellipse_trefoil_triangle,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,triangle_cross,triangle_cross_arrow,quatrefoil_crescent_ellipse,2,post-diff,2,1,1
2019-04-25-093635,shapes,test,crescent_right,crescent_right,crescent_right_cross,2,ident-post,2,1,1
2019-04-25-093635,shapes,test,ring_heart,ring_heart,rectangle_ring_heart,1,ident-pre,1,1,1
2019-04-25-093635,shapes,test,kite_cross,kite_cross,semicircle_pac_circle,1,ident-diff,1,1,1
2019-04-25-093635,shapes,test,crescent_parallelogram,pac_crescent_parallelogram,star_semicircle_arrow,2,pre-diff,2,1,1
2019-04-25-093635,shapes,test,heart_scalene,right_heart_scalene,pentagon_trefoil_polygon,1,pre-diff,1,1,1
2019-04-25-093635,shapes,test,cross_semicircle,parallelogram_cross_semicircle,cross_semicircle_parallelogram,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,kite_rectangle,hexagon_kite_rectangle,kite_rectangle_hexagon,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,ellipse_semicircle,diamond_ellipse_semicircle,ellipse_semicircle_diamond,2,post-pre,1,0,1
2019-04-25-093635,shapes,test,polygon_parallelogram,right_polygon_parallelogram,polygon_parallelogram_right,1,post-pre,2,0,1
2019-04-25-093635,shapes,test,kite_parallelogram,kite_parallelogram,kite_parallelogram_star,2,ident-post,2,1,1
2019-04-25-093635,shapes,test,arrow_polygon,arrow_polygon_trefoil,right_triangle_square,1,post-diff,1,1,1
2019-04-25-093635,shapes,test,semicircle_parallelogram,crescent_semicircle_parallelogram,semicircle_parallelogram_crescent,1,post-pre,2,0,1
2019-04-26-090856,words,test,bo_ti,ne_bo_ti,we_ta_ro,1,pre-diff,1,1,1
2019-04-26-090856,words,test,bu_no,ti_bu_no,bu_no_ti,2,post-pre,1,0,1
2019-04-26-090856,words,test,tha_wa,tho_tha_wa,tha_wa_tho,2,post-pre,1,0,1
2019-04-26-090856,words,test,ni_no,ni_no_ra,ri_ko_ke,2,post-diff,2,1,1
2019-04-26-090856,words,test,ke_te,ke_te,ke_te_wa,1,ident-post,1,1,1
2019-04-26-090856,words,test,yu_ke,ri_yu_ke,yu_ke_ri,1,post-pre,2,0,1
2019-04-26-090856,words,test,ya_ri,ya_ri_ne,ke_ye_mo,2,post-diff,2,1,1
2019-04-26-090856,words,test,yo_thu,yo_thu,je_bu_ro,1,ident-diff,1,1,1
2019-04-26-090856,words,test,thu_me,yo_thu_me,thu_me_yo,1,post-pre,2,0,1
2019-04-26-090856,words,test,je_thi,je_thi,ti_ye_ke,1,ident-diff,1,1,1
2019-04-26-090856,words,test,ri_we,ri_we_ye,wa_thu_no,2,post-diff,2,1,1
2019-04-26-090856,words,test,yo_ji,jo_yo_ji,yo_ji_jo,2,post-pre,1,0,1
2019-04-26-090856,words,test,je_ta,ro_je_ta,je_ta_ro,1,post-pre,1,1,1
2019-04-26-090856,words,test,bu_mo,re_bu_mo,bu_mo_re,1,post-pre,2,0,1
2019-04-26-090856,words,test,ja_je,yi_ja_je,ja_je_yi,2,post-pre,1,0,1
2019-04-26-090856,words,test,we_ra,we_ra,tho_we_ra,1,ident-pre,1,1,1
2019-04-26-090856,words,test,yi_yu,wa_yi_yu,yi_yu_wa,2,post-pre,1,0,1
2019-04-26-090856,words,test,ja_ji,yo_ja_ji,ja_ji_yo,2,post-pre,1,0,1
2019-04-26-090856,words,test,thu_ta,thu_ta,ya_thu_ta,2,ident-pre,2,1,1
2019-04-26-090856,words,test,ro_to,ya_ro_to,ro_to_ya,2,post-pre,1,0,1
2019-04-26-090856,words,test,ja_ta,the_ja_ta,ja_ta_the,2,post-pre,1,0,1
2019-04-26-090856,words,test,ri_ne,ra_ri_ne,ri_ne_ra,2,post-pre,2,1,1
2019-04-26-090856,words,test,yu_ni,jo_yu_ni,yu_ni_jo,2,post-pre,1,0,1
2019-04-26-090856,words,test,ko_no,ni_ko_no,ko_no_ni,2,post-pre,1,0,1
2019-04-26-090856,words,test,me_to,ke_me_to,me_to_ke,2,post-pre,1,0,1
2019-04-26-090856,words,test,ye_no,ke_ye_no,ye_no_ke,2,post-pre,1,0,1
2019-04-26-090856,words,test,ti_no,thi_ti_no,ti_no_thi,1,post-pre,2,0,1
2019-04-26-090856,words,test,ya_jo,bu_ya_jo,yi_ko_ke,1,pre-diff,1,1,1
2019-04-26-090856,words,test,ti_we,ti_we,ti_we_wa,2,ident-post,2,1,1
2019-04-26-090856,words,test,re_mo,yi_re_mo,re_mo_yi,2,post-pre,1,0,1
2019-04-26-090856,words,test,mo_ta,yi_mo_ta,mo_ta_yi,1,post-pre,2,0,1
2019-04-26-090856,words,test,ji_to,ji_to,ji_to_ta,2,ident-post,2,1,1
2019-04-26-090856,words,test,tho_no,bu_tho_no,tho_no_bu,1,post-pre,2,0,1
2019-04-26-090856,words,test,thi_ni,ja_thi_ni,thi_ni_ja,1,post-pre,2,0,1
2019-04-26-090856,words,test,yi_mo,ra_yi_mo,yi_mo_ra,1,post-pre,2,0,1
2019-04-26-090856,words,test,yo_tho,ne_yo_tho,bu_ro_tha,1,pre-diff,1,1,1
2019-04-26-090856,words,test,ko_je,bo_ko_je,ko_je_bo,1,post-pre,2,0,1
2019-04-26-090856,words,test,thi_na,thi_na,tho_the_ti,2,ident-diff,2,1,1
2019-04-26-090856,words,test,yu_no,yu_no,ju_yu_no,1,ident-pre,1,1,1
2019-04-26-090856,words,test,ya_ne,yo_ya_ne,ya_ne_yo,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,quatrefoil_pac,quatrefoil_pac_cross,octagon_hexagon_crescent,2,post-diff,2,1,1
2019-04-26-091847,shapes,test,trefoil_diamond,ring_trefoil_diamond,trefoil_diamond_ring,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,right_ellipse,right_ellipse,parallelogram_arrow_polygon,1,ident-diff,1,1,1
2019-04-26-091847,shapes,test,hexagon_trefoil,kite_hexagon_trefoil,hexagon_trefoil_kite,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,quatrefoil_heart,quatrefoil_heart_cross,pac_diamond_semicircle,1,post-diff,1,1,1
2019-04-26-091847,shapes,test,heart_square,arrow_heart_square,heart_square_arrow,1,post-pre,1,1,1
2019-04-26-091847,shapes,test,arrow_trefoil,semicircle_arrow_trefoil,arrow_trefoil_semicircle,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,ring_diamond,trefoil_ring_diamond,star_circle_triangle,2,pre-diff,2,1,1
2019-04-26-091847,shapes,test,ring_trefoil,circle_ring_trefoil,ring_trefoil_circle,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,semicircle_ellipse,hexagon_semicircle_ellipse,semicircle_ellipse_hexagon,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,parallelogram_hexagon,ellipse_parallelogram_hexagon,parallelogram_hexagon_ellipse,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,octagon_circle,octagon_circle,parallelogram_kite_scalene,2,ident-diff,2,1,1
2019-04-26-091847,shapes,test,arrow_circle,trapeze_arrow_circle,arrow_circle_trapeze,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,hexagon_pentagon,circle_hexagon_pentagon,trefoil_star_polygon,1,pre-diff,1,1,1
2019-04-26-091847,shapes,test,parallelogram_trapeze,parallelogram_trapeze_cross,square_ellipse_star,2,post-diff,2,1,1
2019-04-26-091847,shapes,test,semicircle_polygon,quatrefoil_semicircle_polygon,semicircle_polygon_quatrefoil,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,diamond_cross,kite_diamond_cross,diamond_cross_kite,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,kite_trapeze,right_kite_trapeze,kite_trapeze_right,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,ring_polygon,diamond_ring_polygon,ring_polygon_diamond,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,parallelogram_polygon,quatrefoil_parallelogram_polygon,parallelogram_polygon_quatrefoil,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,triangle_circle,trapeze_triangle_circle,triangle_circle_trapeze,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,star_square,kite_star_square,star_square_kite,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,octagon_kite,quatrefoil_octagon_kite,right_scalene_triangle,1,pre-diff,1,1,1
2019-04-26-091847,shapes,test,parallelogram_diamond,parallelogram_diamond,parallelogram_diamond_crescent,2,ident-post,2,1,1
2019-04-26-091847,shapes,test,heart_trapeze,cross_heart_trapeze,heart_trapeze_cross,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,octagon_ellipse,octagon_ellipse,rectangle_star_square,1,ident-diff,1,1,1
2019-04-26-091847,shapes,test,quatrefoil_trefoil,hexagon_quatrefoil_trefoil,quatrefoil_trefoil_hexagon,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,scalene_pac,parallelogram_scalene_pac,scalene_pac_parallelogram,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,parallelogram_semicircle,parallelogram_semicircle,parallelogram_semicircle_crescent,1,ident-post,1,1,1
2019-04-26-091847,shapes,test,crescent_trapeze,pentagon_crescent_trapeze,crescent_trapeze_pentagon,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,pentagon_square,pentagon_square,trefoil_pentagon_square,2,ident-pre,2,1,1
2019-04-26-091847,shapes,test,triangle_trefoil,hexagon_triangle_trefoil,triangle_trefoil_hexagon,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,pentagon_semicircle,pentagon_semicircle,scalene_pentagon_semicircle,2,ident-pre,2,1,1
2019-04-26-091847,shapes,test,quatrefoil_star,arrow_quatrefoil_star,quatrefoil_star_arrow,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,parallelogram_scalene,trapeze_parallelogram_scalene,parallelogram_scalene_trapeze,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,ellipse_square,ellipse_square,ellipse_square_scalene,2,ident-post,2,1,1
2019-04-26-091847,shapes,test,hexagon_crescent,hexagon_crescent,kite_hexagon_crescent,1,ident-pre,1,1,1
2019-04-26-091847,shapes,test,crescent_diamond,triangle_crescent_diamond,crescent_diamond_triangle,1,post-pre,2,0,1
2019-04-26-091847,shapes,test,arrow_pentagon,heart_arrow_pentagon,arrow_pentagon_heart,2,post-pre,1,0,1
2019-04-26-091847,shapes,test,octagon_scalene,ring_octagon_scalene,octagon_scalene_ring,2,post-pre,1,0,1
2019-04-27-041727,shapes,test,triangle_crescent,ellipse_triangle_crescent,triangle_crescent_ellipse,2,post-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,arrow_circle,arrow_circle,triangle_semicircle_square,2,ident-diff,2,1,0.933333333333333
2019-04-27-041727,shapes,test,ring_pac,ring_pac,ring_pac_semicircle,1,ident-post,1,1,0.933333333333333
2019-04-27-041727,shapes,test,parallelogram_cross,pentagon_parallelogram_cross,parallelogram_cross_pentagon,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,arrow_ellipse,octagon_arrow_ellipse,arrow_ellipse_octagon,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,scalene_trefoil,scalene_trefoil,star_scalene_trefoil,1,ident-pre,1,1,0.933333333333333
2019-04-27-041727,shapes,test,pentagon_rectangle,scalene_pentagon_rectangle,cross_hexagon_semicircle,2,pre-diff,2,1,0.933333333333333
2019-04-27-041727,shapes,test,semicircle_ring,heart_semicircle_ring,semicircle_ring_heart,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,hexagon_star,heart_hexagon_star,pentagon_heart_arrow,1,pre-diff,1,1,0.933333333333333
2019-04-27-041727,shapes,test,polygon_cross,heart_polygon_cross,polygon_cross_heart,1,post-pre,1,1,0.933333333333333
2019-04-27-041727,shapes,test,triangle_kite,triangle_kite_crescent,octagon_semicircle_ring,1,post-diff,1,1,0.933333333333333
2019-04-27-041727,shapes,test,hexagon_right,kite_hexagon_right,hexagon_right_kite,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,square_parallelogram,square_parallelogram,square_parallelogram_triangle,1,ident-post,1,1,0.933333333333333
2019-04-27-041727,shapes,test,polygon_trefoil,octagon_polygon_trefoil,polygon_trefoil_octagon,2,post-pre,1,0,0.933333333333333
2019-04-27-041727,shapes,test,pentagon_heart,parallelogram_pentagon_heart,pentagon_heart_parallelogram,1,post-pre,1,1,0.933333333333333
2019-04-27-041727,shapes,test,heart_pac,star_heart_pac,heart_pac_star,2,post-pre,1,0,0.933333333333333
2019-04-27-041727,shapes,test,triangle_right,triangle_right,triangle_right_kite,1,ident-post,1,1,0.933333333333333
2019-04-27-041727,shapes,test,crescent_rectangle,crescent_rectangle_scalene,cross_triangle_parallelogram,2,post-diff,2,1,0.933333333333333
2019-04-27-041727,shapes,test,hexagon_kite,hexagon_kite,circle_star_trapeze,2,ident-diff,2,1,0.933333333333333
2019-04-27-041727,shapes,test,square_octagon,square_octagon_scalene,triangle_polygon_trefoil,1,post-diff,1,1,0.933333333333333
2019-04-27-041727,shapes,test,ellipse_ring,square_ellipse_ring,ellipse_ring_square,2,post-pre,1,0,0.933333333333333
2019-04-27-041727,shapes,test,diamond_star,trapeze_diamond_star,diamond_star_trapeze,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,octagon_crescent,arrow_octagon_crescent,octagon_crescent_arrow,2,post-pre,1,0,0.933333333333333
2019-04-27-041727,shapes,test,polygon_triangle,polygon_triangle,right_polygon_triangle,2,ident-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,square_ring,diamond_square_ring,square_ring_diamond,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,scalene_star,crescent_scalene_star,scalene_star_crescent,2,post-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,pentagon_hexagon,square_pentagon_hexagon,pentagon_hexagon_square,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,star_trapeze,cross_star_trapeze,octagon_polygon_cross,1,pre-diff,2,0,0.933333333333333
2019-04-27-041727,shapes,test,pentagon_trefoil,quatrefoil_pentagon_trefoil,pentagon_trefoil_quatrefoil,2,post-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,pentagon_triangle,pentagon_triangle,square_pentagon_triangle,2,ident-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,octagon_trapeze,octagon_trapeze,star_ellipse_kite,1,ident-diff,1,1,0.933333333333333
2019-04-27-041727,shapes,test,arrow_triangle,circle_arrow_triangle,arrow_triangle_circle,2,post-pre,1,0,0.933333333333333
2019-04-27-041727,shapes,test,quatrefoil_trefoil,star_quatrefoil_trefoil,quatrefoil_trefoil_star,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,heart_circle,ellipse_heart_circle,heart_circle_ellipse,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,polygon_ring,crescent_polygon_ring,polygon_ring_crescent,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,octagon_cross,pentagon_octagon_cross,octagon_cross_pentagon,2,post-pre,2,1,0.933333333333333
2019-04-27-041727,shapes,test,polygon_kite,ring_polygon_kite,polygon_kite_ring,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,polygon_star,triangle_polygon_star,polygon_star_triangle,1,post-pre,1,1,0.933333333333333
2019-04-27-041727,shapes,test,octagon_right,heart_octagon_right,octagon_right_heart,1,post-pre,2,0,0.933333333333333
2019-04-27-041727,shapes,test,triangle_octagon,star_triangle_octagon,triangle_octagon_star,2,post-pre,1,0,0.933333333333333
2019-04-27-043754,shapes,test,octagon_hexagon,pac_octagon_hexagon,square_circle_pentagon,2,pre-diff,2,1,1
2019-04-27-043754,shapes,test,rectangle_trefoil,cross_rectangle_trefoil,rectangle_trefoil_cross,1,post-pre,1,1,1
2019-04-27-043754,shapes,test,triangle_trapeze,heart_triangle_trapeze,triangle_trapeze_heart,2,post-pre,2,1,1
2019-04-27-043754,shapes,test,heart_circle,heart_circle,semicircle_cross_ring,2,ident-diff,2,1,1
2019-04-27-043754,shapes,test,ellipse_right,ellipse_right_arrow,circle_semicircle_rectangle,1,post-diff,1,1,1
2019-04-27-043754,shapes,test,right_cross,crescent_right_cross,right_cross_crescent,1,post-pre,1,1,1
2019-04-27-043754,shapes,test,ellipse_square,pentagon_ellipse_square,ellipse_square_pentagon,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,cross_parallelogram,polygon_cross_parallelogram,cross_parallelogram_polygon,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,quatrefoil_trefoil,quatrefoil_trefoil_crescent,polygon_crescent_octagon,2,post-diff,2,1,1
2019-04-27-043754,shapes,test,cross_trapeze,triangle_cross_trapeze,cross_trapeze_triangle,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,parallelogram_scalene,pentagon_parallelogram_scalene,parallelogram_scalene_pentagon,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,ellipse_ring,triangle_ellipse_ring,ellipse_ring_triangle,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,star_polygon,triangle_star_polygon,star_polygon_triangle,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,cross_polygon,cross_polygon,heart_quatrefoil_ring,2,ident-diff,2,1,1
2019-04-27-043754,shapes,test,triangle_scalene,arrow_triangle_scalene,triangle_scalene_arrow,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,ring_arrow,polygon_ring_arrow,ring_arrow_polygon,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,octagon_parallelogram,triangle_octagon_parallelogram,heart_trefoil_quatrefoil,1,pre-diff,1,1,1
2019-04-27-043754,shapes,test,rectangle_diamond,ellipse_rectangle_diamond,rectangle_diamond_ellipse,1,post-pre,1,1,1
2019-04-27-043754,shapes,test,octagon_arrow,crescent_octagon_arrow,octagon_arrow_crescent,1,post-pre,1,1,1
2019-04-27-043754,shapes,test,right_semicircle,square_right_semicircle,right_semicircle_square,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,triangle_parallelogram,triangle_parallelogram,trefoil_triangle_parallelogram,1,ident-pre,1,1,1
2019-04-27-043754,shapes,test,hexagon_kite,heart_hexagon_kite,hexagon_kite_heart,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,triangle_right,square_triangle_right,semicircle_rectangle_circle,1,pre-diff,1,1,1
2019-04-27-043754,shapes,test,cross_arrow,crescent_cross_arrow,cross_arrow_crescent,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,star_square,star_square_triangle,octagon_diamond_rectangle,2,post-diff,2,1,1
2019-04-27-043754,shapes,test,star_cross,triangle_star_cross,star_cross_triangle,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,pac_quatrefoil,pac_quatrefoil,right_parallelogram_diamond,2,ident-diff,2,1,1
2019-04-27-043754,shapes,test,arrow_diamond,hexagon_arrow_diamond,arrow_diamond_hexagon,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,parallelogram_diamond,pentagon_parallelogram_diamond,parallelogram_diamond_pentagon,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,parallelogram_arrow,parallelogram_arrow,parallelogram_arrow_circle,2,ident-post,2,1,1
2019-04-27-043754,shapes,test,pac_rectangle,parallelogram_pac_rectangle,pac_rectangle_parallelogram,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,quatrefoil_hexagon,trapeze_quatrefoil_hexagon,quatrefoil_hexagon_trapeze,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,semicircle_square,right_semicircle_square,semicircle_square_right,1,post-pre,2,0,1
2019-04-27-043754,shapes,test,trapeze_diamond,trapeze_diamond,ellipse_trapeze_diamond,1,ident-pre,1,1,1
2019-04-27-043754,shapes,test,arrow_crescent,arrow_crescent,triangle_arrow_crescent,2,ident-pre,2,1,1
2019-04-27-043754,shapes,test,square_scalene,star_square_scalene,square_scalene_star,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,cross_square,octagon_cross_square,cross_square_octagon,2,post-pre,1,0,1
2019-04-27-043754,shapes,test,diamond_kite,diamond_kite,diamond_kite_square,1,ident-post,1,1,1
