condition,subjID,phase,trial,trial_type,target,correct_order,correct,wrong,strategy,strategy_coded,lang1,lang1_rating,lang2,lang2_rating,lang3,lang3_rating,lang4,lang4_rating,response,accuracy,catch_accuracy,language,correct_choice,wrong_choice
shapes,2LF13ZN0,test,20,ident-post,diamond-trapeze,2,diamond-trapeze,diamond-trapeze-semicircle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,21,post-pre,kite-quatrefoil,2,kite-quatrefoil-octagon,octagon-kite-quatrefoil,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,0,1,English,NA,NA
shapes,2LF13ZN0,test,22,ident-post,kite-polygon,2,kite-polygon,kite-polygon-rectangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,23,post-pre,parallelogram-square,2,parallelogram-square-rectangle,rectangle-parallelogram-square,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,0,1,English,NA,NA
shapes,2LF13ZN0,test,24,post-pre,ellipse-hexagon,1,ellipse-hexagon-cross,cross-ellipse-hexagon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,25,post-pre,heart-polygon,2,heart-polygon-scalene,scalene-heart-polygon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,26,pre-diff,arrow-semicircle,1,rectangle-arrow-semicircle,circle-ellipse-pac,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,27,post-pre,crescent-semicircle,2,crescent-semicircle-ellipse,ellipse-crescent-semicircle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,28,post-pre,parallelogram-polygon,1,parallelogram-polygon-pentagon,pentagon-parallelogram-polygon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,29,post-pre,circle-kite,2,circle-kite-crescent,crescent-circle-kite,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,30,ident-diff,hexagon-octagon,2,hexagon-octagon,quatrefoil-scalene-crescent,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,31,post-pre,cross-polygon,2,cross-polygon-ring,ring-cross-polygon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,32,post-pre,octagon-parallelogram,2,octagon-parallelogram-circle,circle-octagon-parallelogram,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,33,ident-diff,ring-square,1,ring-square,pentagon-cross-hexagon,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,34,post-pre,right-triangle,1,right-triangle-heart,heart-right-triangle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,35,post-diff,pentagon-trapeze,2,pentagon-trapeze-rectangle,ellipse-quatrefoil-circle,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,36,post-pre,cross-parallelogram,1,cross-parallelogram-pac,pac-cross-parallelogram,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,37,post-pre,rectangle-trapeze,2,rectangle-trapeze-ellipse,ellipse-rectangle-trapeze,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,2LF13ZN0,test,38,post-pre,pentagon-ring,1,pentagon-ring-kite,kite-pentagon-ring,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,2LF13ZN0,test,39,post-pre,heart-trapeze,1,heart-trapeze-trefoil,trefoil-heart-trapeze,I went with what appeared to be the correct judgments . It was fun,no_strategy,english,NA,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,HJTJDUMZ,test,0,ident-diff,scalene-triangle,1,scalene-triangle,ellipse-star-heart,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,1,post-diff,heart-right,1,heart-right-polygon,parallelogram-trefoil-kite,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,0,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,0,ident-pre,circle-heart,1,circle-heart,pentagon-circle-heart,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,1,post-pre,heart-hexagon,2,heart-hexagon-diamond,diamond-heart-hexagon,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,2,post-diff,polygon-rectangle,2,polygon-rectangle-ellipse,scalene-arrow-square,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,3,post-pre,pentagon-trapeze,2,pentagon-trapeze-cross,cross-pentagon-trapeze,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,4,post-diff,arrow-semicircle,1,arrow-semicircle-hexagon,ring-hexagon-scalene,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,5,post-pre,arrow-star,2,arrow-star-heart,heart-arrow-star,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,6,ident-diff,kite-parallelogram,2,kite-parallelogram,semicircle-heart-ring,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,7,post-pre,diamond-trefoil,2,diamond-trefoil-star,star-diamond-trefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,8,post-pre,hexagon-polygon,2,hexagon-polygon-diamond,diamond-hexagon-polygon,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,9,post-pre,pentagon-quatrefoil,2,pentagon-quatrefoil-semicircle,semicircle-pentagon-quatrefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,10,ident-post,hexagon-scalene,2,hexagon-scalene,hexagon-scalene-star,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,11,pre-diff,scalene-star,1,rectangle-scalene-star,pac-heart-trapeze,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,12,post-pre,rectangle-semicircle,1,rectangle-semicircle-pac,pac-rectangle-semicircle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,13,pre-diff,diamond-parallelogram,1,hexagon-diamond-parallelogram,diamond-heart-triangle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,14,post-pre,circle-quatrefoil,1,circle-quatrefoil-cross,cross-circle-quatrefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,15,post-pre,ellipse-ring,2,ellipse-ring-cross,cross-ellipse-ring,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,16,post-pre,hexagon-trefoil,1,hexagon-trefoil-right,right-hexagon-trefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,17,pre-diff,circle-ellipse,2,ring-circle-ellipse,kite-scalene-parallelogram,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,18,post-pre,heart-semicircle,2,heart-semicircle-crescent,crescent-heart-semicircle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,19,post-pre,circle-crescent,1,circle-crescent-rectangle,rectangle-circle-crescent,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,20,post-pre,cross-diamond,1,cross-diamond-heart,heart-cross-diamond,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,21,post-pre,circle-parallelogram,2,circle-parallelogram-octagon,octagon-circle-parallelogram,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,22,post-pre,octagon-right,1,octagon-right-ellipse,ellipse-octagon-right,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,23,post-pre,pac-quatrefoil,2,pac-quatrefoil-arrow,arrow-pac-quatrefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,24,post-pre,arrow-circle,1,arrow-circle-square,square-arrow-circle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,25,post-pre,pac-rectangle,2,pac-rectangle-crescent,crescent-pac-rectangle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,26,post-pre,heart-trefoil,2,heart-trefoil-semicircle,semicircle-heart-trefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,27,post-pre,right-trapeze,2,right-trapeze-octagon,octagon-right-trapeze,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,28,post-pre,parallelogram-quatrefoil,1,parallelogram-quatrefoil-pac,pac-parallelogram-quatrefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,29,post-diff,arrow-parallelogram,1,arrow-parallelogram-right,crescent-ring-diamond,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,30,ident-post,octagon-quatrefoil,2,octagon-quatrefoil,octagon-quatrefoil-circle,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,0,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,31,ident-pre,pac-scalene,2,pac-scalene,triangle-pac-scalene,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,32,post-pre,ellipse-scalene,2,ellipse-scalene-trefoil,trefoil-ellipse-scalene,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,33,ident-diff,kite-octagon,2,kite-octagon,circle-square-kite,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,34,post-pre,pac-square,2,pac-square-quatrefoil,quatrefoil-pac-square,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,35,ident-pre,hexagon-octagon,1,hexagon-octagon,ring-hexagon-octagon,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,36,post-pre,polygon-trefoil,1,polygon-trefoil-scalene,scalene-polygon-trefoil,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,37,ident-post,ellipse-octagon,1,ellipse-octagon,ellipse-octagon-cross,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,38,post-pre,polygon-right,1,polygon-right-trefoil,trefoil-polygon-right,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,1,1,0.882352941,English,NA,NA
shapes,HJTJDUMZ,test,39,ident-diff,hexagon-pentagon,2,hexagon-pentagon,trefoil-ring-trapeze,No,no_strategy,English,10,NA,NA,NA,NA,NA,NA,2,1,0.882352941,English,NA,NA
shapes,CWM2H7K1,test,0,ident-pre,crescent-heart,1,crescent-heart,rectangle-crescent-heart,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,1,ident-post,crescent-diamond,2,crescent-diamond,crescent-diamond-circle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,0,post-pre,arrow-parallelogram,2,arrow-parallelogram-semicircle,semicircle-arrow-parallelogram,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,1,post-pre,polygon-scalene,2,polygon-scalene-pac,pac-polygon-scalene,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,2,post-pre,arrow-semicircle,2,arrow-semicircle-square,square-arrow-semicircle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,3,post-pre,pac-scalene,1,pac-scalene-polygon,polygon-pac-scalene,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,0,1,English,NA,NA
shapes,CWM2H7K1,test,4,post-pre,quatrefoil-ring,2,quatrefoil-ring-crescent,crescent-quatrefoil-ring,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,5,pre-diff,cross-ellipse,1,quatrefoil-cross-ellipse,kite-trefoil-circle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,6,pre-diff,cross-star,1,trefoil-cross-star,scalene-rectangle-trapeze,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,7,post-pre,circle-heart,2,circle-heart-parallelogram,parallelogram-circle-heart,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,8,post-pre,square-triangle,1,square-triangle-star,star-square-triangle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,9,post-pre,scalene-semicircle,2,scalene-semicircle-right,right-scalene-semicircle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,10,post-pre,trapeze-trefoil,1,trapeze-trefoil-square,square-trapeze-trefoil,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,11,post-pre,diamond-kite,1,diamond-kite-star,star-diamond-kite,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,12,post-pre,kite-semicircle,1,kite-semicircle-diamond,diamond-kite-semicircle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,13,post-pre,crescent-square,2,crescent-square-ellipse,ellipse-crescent-square,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,14,ident-pre,octagon-scalene,2,octagon-scalene,rectangle-octagon-scalene,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,15,ident-pre,pac-semicircle,1,pac-semicircle,crescent-pac-semicircle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,16,post-diff,arrow-cross,1,arrow-cross-diamond,scalene-rectangle-square,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,17,post-pre,rectangle-trefoil,2,rectangle-trefoil-scalene,scalene-rectangle-trefoil,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,18,post-pre,heart-rectangle,1,heart-rectangle-scalene,scalene-heart-rectangle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,19,post-pre,right-ring,2,right-ring-trapeze,trapeze-right-ring,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,20,ident-pre,rectangle-star,2,rectangle-star,square-rectangle-star,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,21,post-diff,right-star,1,right-star-square,triangle-crescent-circle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,22,ident-diff,ellipse-star,1,ellipse-star,octagon-square-scalene,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,23,post-pre,scalene-triangle,1,scalene-triangle-parallelogram,parallelogram-scalene-triangle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,24,post-pre,crescent-parallelogram,1,crescent-parallelogram-trapeze,trapeze-crescent-parallelogram,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,25,post-diff,cross-octagon,1,cross-octagon-arrow,heart-pentagon-star,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,1,1,1,English,NA,NA
shapes,CWM2H7K1,test,26,pre-diff,arrow-trefoil,2,octagon-arrow-trefoil,octagon-kite-parallelogram,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,27,post-pre,diamond-heart,2,diamond-heart-square,square-diamond-heart,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,28,post-pre,cross-hexagon,2,cross-hexagon-rectangle,rectangle-cross-hexagon,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,29,ident-post,pentagon-semicircle,2,pentagon-semicircle,pentagon-semicircle-arrow,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,30,post-pre,kite-quatrefoil,2,kite-quatrefoil-arrow,arrow-kite-quatrefoil,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,31,post-pre,diamond-hexagon,2,diamond-hexagon-ellipse,ellipse-diamond-hexagon,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
shapes,CWM2H7K1,test,32,post-pre,right-semicircle,2,right-semicircle-scalene,scalene-right-semicircle,There were some that were obviously different. For those where the pattern repeated at the beginning of the string,beginning,English,10,NA,NA,NA,NA,NA,NA,2,1,1,English,NA,NA
